region,price,price per sq mtr,rooms,size,rent
Västra Hamnen,1050000, 70000 ,1.0,15.0, 984 
Oxie,1300000, 15476 ,3.0,84.0, 5516 
S:t Knut,2650000, 34416 ,3.5,77.0, 4552 
Söderkulla,1700000, 18994 ,3.5,89.5, 5457 
Håkanstorp,1295000, 18500 ,3.0,70.0, 4018 
Östra Sorgenfri,1450000, 24167 ,2.0,60.0, 3961 
Almhög,715000, 12328 ,2.0,58.0, 3896 
Röda Höja,2395000, 22488 ,4.0,106.5, 4886 
S:t Knut,3680000, 43294 ,3.5,85.0, 3730 
Gamla Väster,5500000, 69620 ,3.0,79.0, 3915 
Dockan,3500000, 44304 ,3.0,79.0, 4080 
Dalaplan,1100000, 29412 ,2.0,37.4, 1764 
Limhamns Sjöstad,3270000, 43026 ,3.0,76.0, 4430 
Ribersborg,3800000, 39175 ,3.0,97.0, 6145 
Södertorp,1300000, 20000 ,2.0,65.0, 3769 
City,4000000, 34483 ,4.0,116.0, 6316 
Ribersborg,2225000, 35887 ,2.0,62.0, 3558 
Drottningtorget,3410000, 39836 ,3.0,85.6, 5136 
Östervärn,1095000, 32206 ,1.0,34.0, 2571 
Triangeln,1975000, 59848 ,1.0,33.0, 1833 
Limhamn,1595000, 41974 ,1.0,38.0, 2321 
Dalaplan,1450000, 26221 ,2.0,55.3, 2678 
Ribersborg,2050000, 29710 ,2.0,69.0, 3456 
Rörsjöstaden,1995000, 32705 ,2.0,61.0, 3231 
Segevång,1450000, 16860 ,4.0,86.0, 4462 
Slottsstaden,3510000, 46800 ,3.0,75.0, 4484 
Oxie,1000000, 14085 ,2.0,71.0, 4618 
Dammfri,2650000, 35570 ,3.0,74.5, 3114 
Drottningtorget,2545000, 30663 ,2.5,83.0, 4757 
Värnhem,1975000, 27817 ,2.0,71.0, 4273 
S:t Knut / Möllevången,2910000, 42174 ,2.5,69.0, 3628 
Dammfri,1950000, 35780 ,2.0,54.5, 2799 
Östervärn,1950000, 34211 ,3.0,57.0, 3564 
Oxie,1600000, 20779 ,3.0,77.0, 4693 
